SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,PERCENT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels,Labels,FIPS,Latitude,Longitude
Chattahoochee County,626,88.29,27.44444444,19.41111111,997,38.8,43.4,17.8,17.2,1.833333333,64.11251212,40.2,0,1225.27333,1067.593872,4942.27334,223.0857472,1657.668295,919.170682,112.074333,0,500.3787262,0,776.6009529,12.31149448,381.6106118,6876.646941,644.5444333,0,1.355386158,1.180962889,5.467121364,0.246780341,1.833701103,1.016780341,0.123971916,0,0.553520562,0,0.859067202,0.013620863,0.422136409,7.606910732,0.712988967,917,11,13,13053,,
Chattooga County,627,84.54,48.06651199,19.1,2772,48.8,38.1,13.1,11.9,2.3,36.32101489,44.57,0,0,215.9448485,6391.845718,535.1123088,2748.039899,789.9930844,187.1741414,0,322.3295635,0,684.9821609,8.888026696,205.4393831,7334.329726,578.7171934,0,0,0.082770563,2.449920635,0.20510101,1.053293651,0.302795815,0.071742424,0,0.123546176,0,0.262546898,0.003405483,0.078740981,2.811165224,0.221814574,965,11,0,13055,,
Cherokee County,628,90.31,10.85965329,22.3,44305,64,30.6,5.4,5.1,1.6,31.19745901,59.01,221.044502,2.976592484,138.5564557,6522.218063,456.6413258,4356.027437,623.9166304,115.0355849,230.1432021,389.8191062,7.362321183,599.2702083,3.741934996,84.22253538,5157.98007,525.0012116,0.005106873,6.88E-05,0.003200993,0.150684347,0.010549825,0.100638303,0.0144144,0.002657714,0.005317007,0.009005981,0.000170184,0.013845164,8.64E-05,0.00194583,0.119166008,0.012129331,1079,2,17,13057,,
Chickamauga City,769,99,8.339828527,21,1298,72,25.1,2.9,2.2,1.833333333,17.29559748,76.24,0,0,654.1665794,5610.958783,162.5209245,2205.677982,1085.419014,160.8220724,0,429.5267643,0,650.5645763,10.14640216,137.3409168,6964.520031,131.1100154,0,0,0.502434515,4.309491525,0.124822804,1.694067797,0.833651772,0.123520801,0,0.329899846,0,0.499668721,0.00779661,0.105485362,5.349090909,0.100701079,998.0346821,11,13,,34.871188,-85.29079
Clarke County,629,80.94,39.754264,18.5,13401,60.4,30.3,9.4,10.9,2.6,44.51295287,36.3,0,2.89991717,226.3585755,7725.842273,765.8398082,6745.496756,1235.61223,149.3084404,0,478.0423662,0,719.8840385,5.478070293,186.3486852,5512.245355,735.1094053,0,0.000229087,0.017858369,0.609533617,0.06042161,0.532189389,0.097484516,0.011779718,0,0.037715096,0,0.056795762,0.000432057,0.014701888,0.434891426,0.057997164,967,5,15,13059,,
Clay County,630,89.71179775,81.02564103,19.41111111,207,63.3,30.4,6.3,4.3,1.833333333,39.45205479,0,0,990.5716425,2230.398116,7338.741546,1469.586087,7512.775507,1771.718261,254.5851208,0,465.2896618,0,2445.011014,112.0086473,1057.892222,9350.937198,2097.179034,0,5.079855072,11.43792271,37.63458937,7.536328502,38.52705314,9.085748792,1.305555556,0,2.386086957,0,12.53850242,0.574396135,5.425072464,47.95352657,10.75478261,998.0346821,7,8,13061,,
Clayton County,631,76.57,43.7029829,17.4,61547,56.4,32.4,11.2,13.1,4.8,43.46072043,30.71,0,10.27315775,175.400871,4894.971984,567.3170478,2659.714568,700.3254927,106.4249414,0,265.744953,0,576.1638202,4.190058492,66.37214568,5579.383008,424.7666379,0,0.000187661,0.003205355,0.089454888,0.010367686,0.048605943,0.012798349,0.001944855,0,0.004856451,0,0.010529352,7.65E-05,0.001212894,0.101962403,0.007762523,958,14,12,13063,,
Clinch County,632,90.57,40.22435897,19.41111111,1312,55.6,35.6,8.8,8.2,1.833333333,34.42622951,46.39,0,0,558.9675076,5772.93971,491.853125,4786.827454,1114.771601,145.769314,0,668.8779268,0,600.2949695,12.47690549,201.4356555,6566.709604,468.9345503,0,0,0.446463415,4.61097561,0.39285061,3.823346037,0.890396341,0.116432927,0,0.534245427,0,0.479466463,0.00996189,0.160891768,5.244977134,0.374550305,946,13,6,13065,,
Cobb County,633,88.61,15.1347168,22.5,119052,64.7,29.1,6.2,6.7,2.4,31.12120405,53.45,0,64.0379346,174.8139936,6921.09558,337.1675037,4947.915484,674.1384708,148.9891114,2.545262574,310.6076017,0.119657713,646.6792301,3.958244969,97.64906772,4905.727094,468.7126155,0,0.000560847,0.001531012,0.060613009,0.002952827,0.043332409,0.005903891,0.001304808,2.23E-05,0.00272024,1.01E-06,0.005663408,3.47E-05,0.000855173,0.042962991,0.004104845,1076,1,1,13067,,
Coffee County,634,90.36,45.42845428,19.9,7961,61,32.4,6.6,7.7,1.3,35.43202293,42.99,0,41.7097136,200.5037621,5568.012821,360.1886949,2077.344732,748.8650295,186.0503479,4.956230373,503.8587564,0,530.3221467,6.085390026,132.1591283,6991.628941,541.4963635,0,0.005577189,0.026809446,0.744486874,0.048159779,0.277756563,0.100129381,0.024876272,0.000663233,0.067369677,0,0.070908177,0.000813968,0.017671147,0.93483482,0.072401708,983,10,16,13069,,
