LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,107,107,67
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,59,59,23
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,35,35,22
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,80,80,27
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,25,25,7
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,68,68,35
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,TFS,,
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Psychology,108,108,67
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,37,37,26
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,Statistics,21,21,2
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,87,87,28
2018-19,608,Bartow County,SCHOOL_ALL,SCHOOL_ALL,World History,58,58,21
2018-19,609,Ben Hill County,291,Fitzgerald High School,ALL Subjects,13,13,1
2018-19,609,Ben Hill County,291,Fitzgerald High School,U.S. History,TFS,,
2018-19,609,Ben Hill County,291,Fitzgerald High School,World History,TFS,,
2018-19,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,13,13,1
2018-19,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,TFS,,
2018-19,609,Ben Hill County,SCHOOL_ALL,SCHOOL_ALL,World History,TFS,,
2018-19,610,Berrien County,101,Berrien High School,ALL Subjects,53,62,26
2018-19,610,Berrien County,101,Berrien High School,Art: Studio Drawing,TFS,,
2018-19,610,Berrien County,101,Berrien High School,Economics: Micro,16,16,11
2018-19,610,Berrien County,101,Berrien High School,Eng. Language & Comp,26,26,5
2018-19,610,Berrien County,101,Berrien High School,Environmental Science,17,17,7
2018-19,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,53,62,26
2018-19,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2018-19,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,16,16,11
2018-19,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,26,26,5
2018-19,610,Berrien County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,17,17,7
2018-19,611,Bibb County,105,Howard High School,ALL Subjects,179,280,109
2018-19,611,Bibb County,105,Howard High School,Art: Studio 2-D Design,TFS,,
2018-19,611,Bibb County,105,Howard High School,Biology,TFS,,
2018-19,611,Bibb County,105,Howard High School,Calculus A,TFS,,
2018-19,611,Bibb County,105,Howard High School,Calculus BC,TFS,,
2018-19,611,Bibb County,105,Howard High School,Computer Science A,TFS,,
2018-19,611,Bibb County,105,Howard High School,Economics: Micro,19,19,8
2018-19,611,Bibb County,105,Howard High School,Eng. Language & Comp,37,37,12
2018-19,611,Bibb County,105,Howard High School,Eng. Literature & Comp,32,32,8
2018-19,611,Bibb County,105,Howard High School,Environmental Science,44,44,13
2018-19,611,Bibb County,105,Howard High School,Geography: Human,35,35,14
2018-19,611,Bibb County,105,Howard High School,Gov. & Pol. U.S.,TFS,,
2018-19,611,Bibb County,105,Howard High School,Music Theory,TFS,,
2018-19,611,Bibb County,105,Howard High School,Psychology,TFS,,
2018-19,611,Bibb County,105,Howard High School,Statistics,11,11,3
2018-19,611,Bibb County,105,Howard High School,U.S. History,32,32,14
2018-19,611,Bibb County,105,Howard High School,World History,39,39,21
2018-19,611,Bibb County,186,Central High School,ALL Subjects,97,97,19
2018-19,611,Bibb County,186,Central High School,Gov. & Pol. U.S.,15,15,
2018-19,611,Bibb County,186,Central High School,U.S. History,42,42,13
2018-19,611,Bibb County,186,Central High School,World History,40,40,6
2018-19,611,Bibb County,198,Westside High School,ALL Subjects,159,266,12
2018-19,611,Bibb County,198,Westside High School,Biology,22,22,4
2018-19,611,Bibb County,198,Westside High School,Calculus A,TFS,,
2018-19,611,Bibb County,198,Westside High School,Capstone,17,17,1
2018-19,611,Bibb County,198,Westside High School,Capstone Research,TFS,,
2018-19,611,Bibb County,198,Westside High School,Chemistry,22,22,
2018-19,611,Bibb County,198,Westside High School,Eng. Language & Comp,41,41,1
2018-19,611,Bibb County,198,Westside High School,Eng. Literature & Comp,41,41,
2018-19,611,Bibb County,198,Westside High School,Geography: Human,28,28,1
2018-19,611,Bibb County,198,Westside High School,Gov. & Pol. U.S.,21,21,
2018-19,611,Bibb County,198,Westside High School,U.S. History,27,27,1
2018-19,611,Bibb County,198,Westside High School,World History,34,34,2
2018-19,611,Bibb County,204,Rutland High School,ALL Subjects,136,183,38
2018-19,611,Bibb County,204,Rutland High School,Art: Studio 2-D Design,TFS,,
2018-19,611,Bibb County,204,Rutland High School,Art: Studio Drawing,TFS,,
2018-19,611,Bibb County,204,Rutland High School,Biology,TFS,,
2018-19,611,Bibb County,204,Rutland High School,Calculus A,10,10,
2018-19,611,Bibb County,204,Rutland High School,Economics: Micro,TFS,,
2018-19,611,Bibb County,204,Rutland High School,Eng. Language & Comp,13,13,1
2018-19,611,Bibb County,204,Rutland High School,Eng. Literature & Comp,13,13,2
2018-19,611,Bibb County,204,Rutland High School,Environmental Science,15,15,7
2018-19,611,Bibb County,204,Rutland High School,Geography: Human,47,47,
2018-19,611,Bibb County,204,Rutland High School,Physics 1,19,19,3
2018-19,611,Bibb County,204,Rutland High School,U.S. History,20,20,6
2018-19,611,Bibb County,204,Rutland High School,World History,25,25,6
2018-19,611,Bibb County,286,Northeast High School,ALL Subjects,50,69,2
2018-19,611,Bibb County,286,Northeast High School,Biology,23,23,1
2018-19,611,Bibb County,286,Northeast High School,Economics: Micro,15,15,
2018-19,611,Bibb County,286,Northeast High School,Eng. Language & Comp,10,10,1
2018-19,611,Bibb County,286,Northeast High School,Eng. Literature & Comp,21,21,
2018-19,611,Bibb County,386,Southwest High School,ALL Subjects,33,34,3
2018-19,611,Bibb County,386,Southwest High School,Eng. Language & Comp,TFS,,
2018-19,611,Bibb County,386,Southwest High School,Environmental Science,18,18,2
2018-19,611,Bibb County,386,Southwest High School,U.S. History,TFS,,
2018-19,611,Bibb County,386,Southwest High School,World History,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,654,929,183
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio 2-D Design,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Biology,59,59,10
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,26,26,4
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Calculus BC,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Capstone,17,17,1
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Capstone Research,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Chemistry,22,22,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Computer Science A,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,43,43,14
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,107,107,16
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,107,107,10
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,77,77,22
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,110,110,15
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,37,37,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Music Theory,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,19,19,3
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Psychology,TFS,,
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Statistics,11,11,3
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,124,124,34
2018-19,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,World History,145,145,35
2018-19,612,Bleckley County,105,Bleckley County High School,ALL Subjects,57,58,27
2018-19,612,Bleckley County,105,Bleckley County High School,Calculus A,TFS,,
2018-19,612,Bleckley County,105,Bleckley County High School,Eng. Language & Comp,29,29,16
2018-19,612,Bleckley County,105,Bleckley County High School,Environmental Science,28,28,10
2018-19,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,57,58,27
2018-19,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
2018-19,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,29,29,16
2018-19,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,28,28,10
2018-19,613,Brantley County,1050,Brantley County High School,ALL Subjects,91,108,61
2018-19,613,Brantley County,1050,Brantley County High School,Biology,11,11,7
2018-19,613,Brantley County,1050,Brantley County High School,Eng. Language & Comp,49,49,21
2018-19,613,Brantley County,1050,Brantley County High School,Physics 1,TFS,,
2018-19,613,Brantley County,1050,Brantley County High School,Psychology,17,17,14
2018-19,613,Brantley County,1050,Brantley County High School,World History,24,24,16
2018-19,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,91,108,61
2018-19,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Biology,11,11,7
2018-19,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,49,49,21
2018-19,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,TFS,,
2018-19,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Psychology,17,17,14
2018-19,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,World History,24,24,16
2018-19,614,Brooks County,110,Brooks County High School,ALL Subjects,TFS,,
2018-19,614,Brooks County,110,Brooks County High School,Computer Science A,TFS,,
2018-19,614,Brooks County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,TFS,,
2018-19,614,Brooks County,SCHOOL_ALL,SCHOOL_ALL,Computer Science A,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,ALL Subjects,385,860,651
2018-19,615,Bryan County,182,Richmond Hill High School,Biology,16,16,14
2018-19,615,Bryan County,182,Richmond Hill High School,Calculus A,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Calculus BC,25,25,19
2018-19,615,Bryan County,182,Richmond Hill High School,Capstone,33,33,30
2018-19,615,Bryan County,182,Richmond Hill High School,Chemistry,20,20,14
2018-19,615,Bryan County,182,Richmond Hill High School,Computer Science Principles,25,25,15
2018-19,615,Bryan County,182,Richmond Hill High School,Economics: Macro,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Economics: Micro,82,82,45
2018-19,615,Bryan County,182,Richmond Hill High School,Eng. Language & Comp,49,49,40
2018-19,615,Bryan County,182,Richmond Hill High School,Eng. Literature & Comp,28,28,19
2018-19,615,Bryan County,182,Richmond Hill High School,Environmental Science,17,17,16
2018-19,615,Bryan County,182,Richmond Hill High School,European History,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Geography: Human,80,80,56
2018-19,615,Bryan County,182,Richmond Hill High School,German Language,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Gov. & Pol. Comp,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Gov. & Pol. U.S.,82,82,59
2018-19,615,Bryan County,182,Richmond Hill High School,Music Theory,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Physics 1,52,52,39
2018-19,615,Bryan County,182,Richmond Hill High School,Physics 2,36,36,28
2018-19,615,Bryan County,182,Richmond Hill High School,Psychology,84,84,78
2018-19,615,Bryan County,182,Richmond Hill High School,Spanish Language,TFS,,
2018-19,615,Bryan County,182,Richmond Hill High School,Statistics,97,97,71
2018-19,615,Bryan County,182,Richmond Hill High School,U.S. History,54,54,43
2018-19,615,Bryan County,182,Richmond Hill High School,World History,70,70,61
2018-19,615,Bryan County,502,Bryan County High School,ALL Subjects,33,49,10
2018-19,615,Bryan County,502,Bryan County High School,Eng. Language & Comp,14,14,6
2018-19,615,Bryan County,502,Bryan County High School,Eng. Literature & Comp,TFS,,
2018-19,615,Bryan County,502,Bryan County High School,Geography: Human,12,12,1
2018-19,615,Bryan County,502,Bryan County High School,Statistics,TFS,,
2018-19,615,Bryan County,502,Bryan County High School,U.S. History,18,18,1
2018-19,615,Bryan County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,418,909,661
2018-19,615,Bryan County,SCHOOL_ALL,SCHOOL_ALL,Biology,16,16,14
2018-19,615,Bryan County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
