"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Essay Writing Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Math Section Score - New",687305,26246,"122","26",539,"472","487"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","Reading Test  Score - New",687305,26245,"122","26",279,"252","260"
"2020-21","611","Bibb County","0204","Rutland High School","All Students","WritLang Test  Score - New",687305,26245,"122","26",277,"250","250"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","TFS",1094,"975","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Essay Analysis Score - New",1509133,7921,"30","TFS",4,"3","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Essay Reading Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Essay Total",1509133,7920,"30","TFS",14,"13","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Essay Writing Score - New",1509133,7920,"30","TFS",5,"5","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Math Section Score - New",687305,26246,"122","TFS",539,"472","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","Reading Test  Score - New",687305,26245,"122","TFS",279,"252","TFS"
"2020-21","611","Bibb County","0286","Northeast High School","All Students","WritLang Test  Score - New",687305,26245,"122","TFS",277,"250","TFS"
"2020-21","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","TFS",1094,"975","TFS"
"2020-21","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Math Section Score - New",687305,26246,"122","TFS",539,"472","TFS"
"2020-21","611","Bibb County","0303","William S. Hutchings Career Center","All Students","Reading Test  Score - New",687305,26245,"122","TFS",279,"252","TFS"
"2020-21","611","Bibb County","0303","William S. Hutchings Career Center","All Students","WritLang Test  Score - New",687305,26245,"122","TFS",277,"250","TFS"
"2020-21","611","Bibb County","0386","Southwest High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"122","TFS",1094,"975","TFS"
"2020-21","611","Bibb County","0386","Southwest High School","All Students","Math Section Score - New",687305,26246,"122","TFS",539,"472","TFS"
"2020-21","611","Bibb County","0386","Southwest High School","All Students","Reading Test  Score - New",687305,26245,"122","TFS",279,"252","TFS"
"2020-21","611","Bibb County","0386","Southwest High School","All Students","WritLang Test  Score - New",687305,26245,"122","TFS",277,"250","TFS"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"31","31",1094,"1149","1149"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Math Section Score - New",687305,26246,"31","31",539,"571","571"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Reading Test  Score - New",687305,26245,"31","31",279,"295","295"
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","WritLang Test  Score - New",687305,26245,"31","31",277,"284","284"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"32","32",1094,"1110","1110"
"2020-21","613","Brantley County","1050","Brantley County High School","All Students","Essay Analysis Score - New",1509133,7921,"25","25",4,"4","4"
