LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,611,Bibb County,186,Central High School,All Students,Reading Test  Score - New,2220087,49344,663,150,264,242,241
2018-19,611,Bibb County,186,Central High School,All Students,WritLang Test  Score - New,2220087,49344,663,150,259,236,236
2018-19,611,Bibb County,198,Westside High School,All Students,Combined Test Score,2220087,49344,663,85,1027,933,891
2018-19,611,Bibb County,198,Westside High School,All Students,Essay Analysis Score - New,1747071,19599,172,31,3,3,3
2018-19,611,Bibb County,198,Westside High School,All Students,Essay Reading Score - New,1747071,19599,172,31,5,4,4
2018-19,611,Bibb County,198,Westside High School,All Students,Essay Total,1747071,19599,172,31,13,12,11
2018-19,611,Bibb County,198,Westside High School,All Students,Essay Writing Score - New,1747071,19599,172,31,5,5,4
2018-19,611,Bibb County,198,Westside High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,663,85,523,478,458
2018-19,611,Bibb County,198,Westside High School,All Students,Math Section Score - New,2220087,49344,663,85,504,455,432
2018-19,611,Bibb County,198,Westside High School,All Students,Reading Test  Score - New,2220087,49344,663,85,264,242,234
2018-19,611,Bibb County,198,Westside High School,All Students,WritLang Test  Score - New,2220087,49344,663,85,259,236,225
2018-19,611,Bibb County,204,Rutland High School,All Students,Combined Test Score,2220087,49344,663,116,1027,933,971
2018-19,611,Bibb County,204,Rutland High School,All Students,Essay Analysis Score - New,1747071,19599,172,25,3,3,3
2018-19,611,Bibb County,204,Rutland High School,All Students,Essay Reading Score - New,1747071,19599,172,25,5,4,4
2018-19,611,Bibb County,204,Rutland High School,All Students,Essay Total,1747071,19599,172,25,13,12,12
2018-19,611,Bibb County,204,Rutland High School,All Students,Essay Writing Score - New,1747071,19599,172,25,5,5,5
2018-19,611,Bibb County,204,Rutland High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,663,116,523,478,500
2018-19,611,Bibb County,204,Rutland High School,All Students,Math Section Score - New,2220087,49344,663,116,504,455,471
2018-19,611,Bibb County,204,Rutland High School,All Students,Reading Test  Score - New,2220087,49344,663,116,264,242,252
2018-19,611,Bibb County,204,Rutland High School,All Students,WritLang Test  Score - New,2220087,49344,663,116,259,236,248
2018-19,611,Bibb County,286,Northeast High School,All Students,Combined Test Score,2220087,49344,663,80,1027,933,885
2018-19,611,Bibb County,286,Northeast High School,All Students,Essay Analysis Score - New,1747071,19599,172,16,3,3,3
2018-19,611,Bibb County,286,Northeast High School,All Students,Essay Reading Score - New,1747071,19599,172,16,5,4,4
2018-19,611,Bibb County,286,Northeast High School,All Students,Essay Total,1747071,19599,172,16,13,12,11
2018-19,611,Bibb County,286,Northeast High School,All Students,Essay Writing Score - New,1747071,19599,172,16,5,5,4
2018-19,611,Bibb County,286,Northeast High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,663,80,523,478,449
2018-19,611,Bibb County,286,Northeast High School,All Students,Math Section Score - New,2220087,49344,663,80,504,455,436
2018-19,611,Bibb County,286,Northeast High School,All Students,Reading Test  Score - New,2220087,49344,663,80,264,242,227
2018-19,611,Bibb County,286,Northeast High School,All Students,WritLang Test  Score - New,2220087,49344,663,80,259,236,222
2018-19,611,Bibb County,386,Southwest High School,All Students,Combined Test Score,2220087,49344,663,79,1027,933,874
2018-19,611,Bibb County,386,Southwest High School,All Students,Essay Analysis Score - New,1747071,19599,172,11,3,3,3
2018-19,611,Bibb County,386,Southwest High School,All Students,Essay Reading Score - New,1747071,19599,172,11,5,4,4
2018-19,611,Bibb County,386,Southwest High School,All Students,Essay Total,1747071,19599,172,11,13,12,11
2018-19,611,Bibb County,386,Southwest High School,All Students,Essay Writing Score - New,1747071,19599,172,11,5,5,4
2018-19,611,Bibb County,386,Southwest High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,663,79,523,478,444
2018-19,611,Bibb County,386,Southwest High School,All Students,Math Section Score - New,2220087,49344,663,79,504,455,430
2018-19,611,Bibb County,386,Southwest High School,All Students,Reading Test  Score - New,2220087,49344,663,79,264,242,225
2018-19,611,Bibb County,386,Southwest High School,All Students,WritLang Test  Score - New,2220087,49344,663,79,259,236,219
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Combined Test Score,2220087,49344,57,57,1027,1087,1087
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Essay Analysis Score - New,1747071,19599,11,11,3,4,4
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Essay Reading Score - New,1747071,19599,11,11,5,4,4
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Essay Total,1747071,19599,11,11,13,13,13
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Essay Writing Score - New,1747071,19599,11,11,5,5,5
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,57,57,523,551,551
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Math Section Score - New,2220087,49344,57,57,504,536,536
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,Reading Test  Score - New,2220087,49344,57,57,264,280,280
2018-19,612,Bleckley County,105,Bleckley County High School,All Students,WritLang Test  Score - New,2220087,49344,57,57,259,271,271
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Combined Test Score,2220087,49344,71,71,1027,1041,1041
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Essay Analysis Score - New,1747071,19599,59,59,3,3,3
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Essay Reading Score - New,1747071,19599,59,59,5,5,5
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Essay Total,1747071,19599,59,59,13,13,13
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Essay Writing Score - New,1747071,19599,59,59,5,5,5
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,71,71,523,544,544
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Math Section Score - New,2220087,49344,71,71,504,497,497
2018-19,613,Brantley County,1050,Brantley County High School,All Students,Reading Test  Score - New,2220087,49344,71,71,264,276,276
2018-19,613,Brantley County,1050,Brantley County High School,All Students,WritLang Test  Score - New,2220087,49344,71,71,259,268,268
2018-19,614,Brooks County,110,Brooks County High School,All Students,Combined Test Score,2220087,49344,33,33,1027,947,947
