"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","650","Echols County","1050","Echols County High School","All Students","Composite",1295349,12574,"12","12",20.3,22.9,18.7,18.7
"2020-21","631","Clayton County","2052","North Clayton High School","All Students","Science",1295349,12574,"159","TFS",20.4,22.7,19.2,
"2020-21","786","Social Circle City","0201","Social Circle High School","All Students","English",1295349,12575,"15","15",19.6,22.5,19.7,19.7
"2020-21","644","DeKalb County","5052","Chamblee Charter High School","All Students","Reading",1295349,12574,"448","29",20.9,23.8,23.3,27.8
"2020-21","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","All Students","Writing Subscore",463733,2516,"37","11",6.4,6.9,6.6,7.1
"2020-21","633","Cobb County","3056","South Cobb High School","All Students","Writing Subscore",463733,2516,"211","17",6.4,6.9,7.1,7.1
"2020-21","667","Gwinnett County","4556","North Gwinnett High School","All Students","Reading",1295349,12574,"1292","189",20.9,23.8,24,26.3
"2020-21","638","Coweta County","5054","Newnan High School","All Students","Writing Subscore",463733,2516,"58","16",6.4,6.9,6.7,5.9
"2020-21","638","Coweta County","5054","Newnan High School","All Students","Science",1295349,12574,"271","75",20.4,22.7,22.5,22.4
"2020-21","725","Seminole County","0196","Seminole County Middle/High School","All Students","Mathematics",1295349,12574,"TFS","TFS",19.9,22,,
"2020-21","667","Gwinnett County","1410","Mountain View High School","All Students","Mathematics",1295349,12574,"1292","69",19.9,22,23.2,23.5
"2020-21","667","Gwinnett County","1410","Mountain View High School","All Students","English",1295349,12575,"1292","69",19.6,22.5,22.8,22.7
"2020-21","706","Muscogee County","5052","Carver High School","All Students","Reading",1295349,12574,"224","TFS",20.9,23.8,24.3,
"2020-21","722","Rockdale County","0176","Heritage High School","All Students","Reading",1295349,12574,"103","40",20.9,23.8,22.3,19.7
"2020-21","701","Mitchell County","0282","Mitchell County High School","All Students","Reading",1295349,12574,"TFS","TFS",20.9,23.8,,
