SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
726,Griffin-Spalding County,629,90.24,697,44.27040396,18,10842,55.1,35.2,9.7,12.2,1.9,47.89016444,39.62,0,54.52286755,213.4474534,5570.974805,685.2644189,2747.069504,856.8396901,162.4670374,0,222.6496015,0,810.4780585,6.164502859,0,152.5367202,6370.44097,447.6578316,0,60.44,236.63,6175.92,759.68,3045.37,949.88,180.11,0,246.83,0,898.49,6.83,0,169.1,7062.2,496.27,959
667,Gwinnett County,11737,83.23,14102,16.5754051,22.5,195131,68.5,25.7,5.7,6.4,3,37.63405144,51.96,0,5.422751895,179.6402331,5850.168118,515.816408,3890.204897,666.3498511,123.1497719,0,290.0487439,0.265836746,765.3503026,2.56275333,0,94.18910019,5601.048429,583.5195843,0,5.66,187.36,6101.44,537.97,4057.29,694.97,128.44,0,302.51,0.28,798.22,2.67,0,98.23,5841.62,608.58,1077
668,Habersham County,449,95.13,472,25.21790516,25.8,7225,64.3,30.5,5.2,6,1.833333333,33.57970435,48.38,0.104152249,4.056182699,153.6585619,7076.06404,283.9692941,3427.506949,1049.898735,231.5792055,0,322.824746,0,703.6456097,5.946888581,0,197.9000111,6853.145351,573.746126,0.11,4.17,158.12,7281.66,292.22,3527.1,1080.4,238.31,0,332.2,0,724.09,6.12,0,203.65,7052.27,590.42,1060
669,Hall County,1936,88.89,2178,18.77245509,21.1,28619,52.6,37.9,9.5,9.3,1.8,34.42979909,46.24,0,28.90796674,189.6371449,6333.754642,470.1909368,3752.036507,648.7378458,178.7721758,5.470341032,426.3982934,0,618.3213973,5.22804186,0,110.4469003,5768.458192,483.5667039,0,29.47,193.3,6456.02,479.27,3824.47,661.26,182.22,5.58,434.63,0,630.26,5.33,0,112.58,5879.81,492.9,1039
670,Hancock County,53,86.89,61,62.9076087,15.6,800,45.1,38.9,16,14.8,1.833333333,30.71979434,55.56,0,-9.42625,1022.299475,6310.300338,1078.244763,8593.548513,2367.802863,243.4142375,0,329.928225,0,829.2662875,17.7694625,0,208.245,5787.165,906.8069375,0,-10.14,1099.25,6785.27,1159.4,9240.37,2546.02,261.74,0,354.76,0,891.68,19.11,0,223.92,6222.76,975.06,883
671,Haralson County,207,97.64,212,37.3252859,20.3,3411,63.4,32.3,4.4,8.4,1.833333333,30.80985915,46.95,0,0,378.8042158,6951.83586,368.6382087,3144.350557,851.4178305,208.8756523,0,322.7377045,0,723.1913867,5.948654354,0,174.7042334,8908.895632,544.8801671,0,0,408.63,7499.28,397.67,3391.96,918.46,225.32,0,348.15,0,780.14,6.42,0,188.46,9610.45,587.79,991
672,Harris County,390,89.24,437,14.57819905,20.7,5552,65.9,29.2,4.9,6.7,2,26.5576324,57.44,0,4.103951729,317.2888311,6185.073667,331.5661023,4851.677224,691.5572839,171.4946704,1.327633285,488.2918228,5.763688761,735.6880836,7.757112752,0,107.5889625,5172.85969,798.3321488,0,4.27,329.95,6431.83,344.79,5045.24,719.15,178.34,1.38,507.77,5.99,765.04,8.07,0,111.88,5379.23,830.18,1053
673,Hart County,219,95.22,230,34.04379562,18.8,3595,56.1,36.7,7.2,7.5,1.833333333,37.11762171,51.61,0,0,204.5131043,6235.157855,374.3015438,4117.449024,951.7964478,144.6360501,21.418637,360.9744645,0,657.8914771,6.521109875,0,125.1019694,5318.799166,560.0035744,0,0,211.88,6459.77,387.79,4265.77,986.08,149.85,22.19,373.98,0,681.59,6.76,0,129.61,5510.4,580.18,977
674,Heard County,134,88.16,152,33.85155466,18.5,2115,62.8,30.9,6.2,6.6,1.833333333,30.4964539,49.28,0,0,498.6095697,5996.326118,272.136052,3974.026345,1065.5406,237.5820567,0,343.987773,0,827.1391158,6.505513002,0,164.2414043,6109.177305,471.8446336,0,0,526.75,6334.78,287.5,4198.33,1125.68,250.99,0,363.4,0,873.83,6.87,0,173.51,6454,498.48,994
675,Henry County,3252,88.8,3662,23.99615123,19.3,47246,60,33,7,8.7,2.2,40.53545791,36.15,0,45.8371659,106.039401,5767.852506,345.7126741,3478.351359,781.7782782,131.4120527,0,338.2254153,0,627.1134799,2.326607755,0,115.0938024,5218.873619,394.0527439,0,50.15,116.02,6310.68,378.25,3805.71,855.35,143.78,0,370.06,0,686.13,2.55,0,125.93,5710.04,431.14,999
